OONOPI,NLI3PI,CTYPPI,CNAMPI,CURLPI,DTYPPI,DVALPI,PORTPI,POETPI,CCDEPI
0046807-180524-0023072385                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,大家電 全系列92折                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0024063365                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0025118407                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0027133740                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0029288248                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,2018年5月購物車驚喜禮滿799折100-2                                                                                                                                                                                                                   ,https://www.rakuten.com.tw                                                                                                                                                                                                                                ,AMOUNT_OFF                                        ,100                                               ,                                                  ,                                                  ,WT1I-3MGP-Z9VY-M8JC                               
0046807-180524-0032331306                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0032331306                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0035516655                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,【樂天會員生日獻禮】專屬150元生日金-5月全會員-2                                                                                                                                                                                                     ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,150                                               ,                                                  ,                                                  ,2BNP-ICYX-OED0-EVKO                               
0046807-180524-0037298621                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0038111558                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0038111558                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0038539714                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,5月新會員有好康 - 499折70                                                                                                                                                                                                                             ,https://www.rakuten.com.tw/user/new/newmember180501/                                                                                                                                                                                                      ,AMOUNT_OFF                                        ,70                                                ,                                                  ,                                                  ,VILK-FSFA-C4QI-KQA4                               
0046807-180524-0038539714                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,3C 全系列98折                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,2                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0039309413                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0041468654                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0042183783                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,精選會員獨享-單筆滿699現折100                                                                                                                                                                                                                       ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,100                                               ,                                                  ,                                                  ,XPJF-DB1T-QXGL-HGPX                               
0046807-180524-0042499091                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,【樂天會員生日獻禮】專屬150元生日金-5月全會員-3                                                                                                                                                                                                     ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,150                                               ,                                                  ,                                                  ,UWRC-8KCJ-3JWW-VC0U                               
0046807-180524-0047054097                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,3C 全系列98折                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,2                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0047374364                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0047374364                         ,2,MALL_COUPON                                                                                                                                                                                                                                               ,精選會員獨享-單筆滿699現折100-2                                                                                                                                                                                                                     ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,100                                               ,                                                  ,                                                  ,UWOY-K644-I6HP-OKBP                               
0046807-180524-0048357023                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0049360766                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,樂天卡友 愛買滿1000折200 - 5月 (5)                                                                                                                                                                                                                ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,200                                               ,                                                  ,                                                  ,S1J8-FZEU-G1HK-HRAC                               
0046807-180524-0052451206                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0055509364                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0055542096                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0055542096                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0056184871                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0056184871                         ,2,MALL_COUPON                                                                                                                                                                                                                                               ,2018年5月點數提醒購物禮499折50-1                                                                                                                                                                                                                    ,https://www.rakuten.com.tw                                                                                                                                                                                                                                ,AMOUNT_OFF                                        ,50                                                ,                                                  ,                                                  ,YWLS-0KHJ-AIGT-OANZ                               
0046807-180524-0058105703                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0058105703                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0058105703                         ,3,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
