OONOPI,NLI3PI,CTYPPI,CNAMPI,CURLPI,DTYPPI,DVALPI,PORTPI,POETPI,CCDEPI
0046807-180511-0133563943                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日全館 加碼92折                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180511-0133563943                         ,2,MALL_COUPON                                                                                                                                                                                                                                               ,【會員神券】領券最多現折$1338！全會員 1000/100                                                                                                                                                                                                        ,https://www.rakuten.com.tw/coupon                                                                                                                                                                                                                         ,AMOUNT_OFF                                        ,100                                               ,                                                  ,                                                  ,VLFY-4TSX-RPLG-QKXQ                               
0046807-180524-0000470576                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,3C 全系列98折                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,2                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0001571685                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0001571685                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,小家電系列92折                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0002363525                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0004170344                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0012211439                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,大家電 全系列92折                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0013258877                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0019349790                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,涼夏端午 95折專區                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,5                                                 ,                                                  ,                                                  ,                                                  
0046807-180524-0019349790                         ,2,MALL_COUPON                                                                                                                                                                                                                                               ,2018_05 點數兌換優惠券_750折70                                                                                                                                                                                                                        ,https://pointexchange.rakuten.com.tw/exchange/                                                                                                                                                                                                            ,AMOUNT_OFF                                        ,70                                                ,                                                  ,                                                  ,FNJK-AMOB-U1QA-FYFF                               
0046807-180524-0023072385                         ,1,MALL_COUPON                                                                                                                                                                                                                                               ,2018_05 點數兌換優惠券_4000折400                                                                                                                                                                                                                      ,https://pointexchange.rakuten.com.tw/exchange/                                                                                                                                                                                                            ,AMOUNT_OFF                                        ,400                                               ,                                                  ,                                                  ,64EQ-A2W7-E5UZ-UCXF                               
