OONOPI,NLI3PI,CTYPPI,CNAMPI,CURLPI,DTYPPI,DVALPI,PORTPI,POETPI,CCDEPI
0046807-180523-1655076824                         ,8,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-1655254065                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-1655254065                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-1655254065                         ,3,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-1655254065                         ,4,SHOP_ITEM                                                                                                                                                                                                                                                 ,3C 全系列98折                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,2                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-1655254065                         ,5,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-1655254065                         ,6,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-1655289066                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-1655289066                         ,2,MALL_BULK_COUPON                                                                                                                                                                                                                                          ,精選會員獨享-單筆滿699現折100-2                                                                                                                                                                                                                     ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,100                                               ,                                                  ,                                                  ,AYPZ-RRKH-NUHR-AG7K                               
0046807-180523-1657494350                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-1658169567                         ,1,MALL_BULK_COUPON                                                                                                                                                                                                                                          ,精選會員獨享-單筆滿699現折100-2                                                                                                                                                                                                                     ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,100                                               ,                                                  ,                                                  ,DQGA-LERT-TXMY-QNY3                               
0046807-180523-1658169567                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-1659475985                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-1700027087                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-1700027087                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
