OONOPI,NLI3PI,CTYPPI,CNAMPI,CURLPI,DTYPPI,DVALPI,PORTPI,POETPI,CCDEPI
0046807-180510-1501345822                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日全館 加碼92折                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180510-1501345822                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日全館 加碼92折                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180510-1501345822                         ,3,MALL_BULK_COUPON                                                                                                                                                                                                                                          ,2018年5月點數提醒購物禮499折50-7                                                                                                                                                                                                                    ,https://www.rakuten.com.tw/                                                                                                                                                                                                                               ,AMOUNT_OFF                                        ,50                                                ,                                                  ,                                                  ,TDIZ-X03D-3N1U-YU8P                               
0046807-180510-1501345822                         ,4,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日全館 加碼92折                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0002208284                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0012350665                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0012350665                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0012350665                         ,3,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0012350665                         ,4,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0012350665                         ,5,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買天天限量特價-5/22                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,FIXED_PRICE                                       ,49                                                ,                                                  ,                                                  ,                                                  
0046807-180523-0012350665                         ,6,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0012350665                         ,7,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買天天限量特價-5/22                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                          ,FIXED_PRICE                                       ,120                                               ,                                                  ,                                                  ,                                                  
0046807-180523-0012350665                         ,8,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0012511564                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0023176361                         ,1,SHOP_COUPON                                                                                                                                                                                                                                               ,冰品全系列 滿500現打8折                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,20                                                ,                                                  ,                                                  ,LOOC-LGV4-S2HT-MLV7                               
0046807-180523-0023176361                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0031351933                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0031351933                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0031351933                         ,3,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0031351933                         ,4,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0031351933                         ,5,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0031351933                         ,6,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,2,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,3,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,4,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,5,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,6,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,7,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,8,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,9,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,10,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,11,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,12,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,13,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,14,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,15,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,16,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,17,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,18,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,19,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032321569                         ,20,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
0046807-180523-0032343513                         ,1,SHOP_ITEM                                                                                                                                                                                                                                                 ,愛買日 全館92折                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                          ,PERCENT_OFF                                       ,8                                                 ,                                                  ,                                                  ,                                                  
